ID,ADDRESS,NEIGHBORHOOD,CITY,SUBREGION,REGION,COUNTRYCODE,Longitude,Latitude,Match Score
260,Lot 1,"Bock 9, 5th Avenue corner 25th Street, Bonifacio South District, Bonifacio Global City",Taguig City,,NCR,PHL,121.049221,14.5484707,80
261,Commerce Ave. cor. Spectrum,"Filinvest Corp. City, Alabang",Muntinlupa City,,NCR,PHL,121.036848622537,14.41920358086,84.44
262,No.1 Julia Vargas Avenue corner Meralco Avenue,Barangay Ugong,Pasig City,,NCR,PHL,121.063759178419,14.584360399556,96.41
263,Shaw Boulevard corner San Miguel Avenue,Ortigas Center,Pasig City,,NCR,PHL,121.057274435208,14.578133483687,99.45
264,San Antonio Park Square,"Lacson Street, Mandalagan",Bacolod City,,R-VI,PHL,122.959698804893,10.693421453257,86.61
265,Block 5,"32nd Street, City Center North, Bonifacio Global City",Taguig City,,NCR,PHL,121.049221,14.5484707,84.13
266,Along Emerald Avenue,Ortigas Center,Pasig City,,NCR,PHL,121.0806429,14.5598218,75
267,No. 1,"Doña Julia Vargas Street corner Meralco Avenue, Barangay Ugong",Pasig City,,NCR,PHL,121.0929237,14.5483004,80
268,Pascor Drive,Brgy. Sto. Nino,Paranaque City,,NCR,PHL,120.996887401976,14.508769408084,96.32
269,Corners Sen. Gil Puyat and Makati Avenues,,Makati City,,NCR,PHL,121.027675504343,14.561250193306,97.79
270,Barangay Singalat,Palayan City,Nueva Ecija,,R-III,PHL,121.09584142048,15.571712635294,87.7
271,Barangay Manamok,Cuyo,Palawan,,R-IV,PHL,120.6902418,11.3180781,79.91
272,Barangay Pulong Maragul,,Angeles City,Pampanga,R-III,PHL,120.6252458,15.1609007,86.81
273,Alos,Alaminos &  Tagudin,Mabini,Pangasinan,R-I,PHL,119.9471451,16.0723623,84.86
274,Block 9,"City Center North, Fort Bonifacio",Taguig City,,NCR,PHL,121.0422,14.5272,87.13
275,1029 EDSA,Veterans Village,Project 7,Quezon City,NCR,PHL,121.022166079386,14.65720865161,100
276,Ayala Avenue cor. Herrera Street,,Makati City,,NCR,PHL,121.018834859607,14.558266780599,99.67
277,Barangay Tambubong,,San Rafael,Bulacan,R-III,PHL,121.0398579,14.9984073,87.03
278,Maduya,,Carmona,Cavite,R-IV,PHL,121.0654542,14.3187509,94.55
279,Amorsolo Street,,Makati City,,NCR,PHL,121.014100878782,14.558467510136,100
280,Barangay Maribago,,Lapu-Lapu City,,R-VII,PHL,123.992427359715,10.285174160713,83.49
281,Acacia Avenue,"Madrigal Business Park, Brgy. Ayala Alabang",Muntinlupa City,,NCR,PHL,121.021909507068,14.419071038411,84.87
282,8767 Paseo de Roxas,,Makati City,,NCR,PHL,121.021894421904,14.557102073243,98.65
283,Bugo,,Cagayan De Oro City,,R-X,PHL,124.7650316,8.5061761,96.36
284,10th Avenue corner Kalayaan Avenue,"Bonifacio Triangle, Bonifacio Global City",Taguig City,,NCR,PHL,121.055899383992,14.561059714556,96.24
285,Municipalities of Villanueva and Tagoloan,,Misamis Oriental,,R-X,PHL,0.0,0.0,0
286,Lot 8,"Blk. 14, Cardinal Rosales Ave.",Brgy. Mabolo,Cebu City,R-VII,PHL,123.92232,10.32337,75
287,Alion and Cabcaben,,Mariveles,Bataan,R-III,PHL,120.5591509,14.4602426,86.29
288,Spectrum Midway,"Filinvest Corporate City, Alabang",Muntinlupa City,,NCR,PHL,121.037770587039,14.420822196427,87.17
289,Pueblo Business Park,,Barangay Upper Carmen,Cagayan de Oro City,R-X,PHL,124.63611,8.47833,76
290,Roxas City,,Capiz,,R-VI,PHL,122.75111,11.58528,92.94
291,Tatlong Kawayan,Barangay Dela Paz,Pasig City,,NCR,PHL,121.085748,14.5715599,80
292,Barangay San Jose,,Quezon,Bukidnon,R-X,PHL,125.070979105569,7.736116124699,85.25
293,Corner of United Street and Sheridan Street,Barangay Highway Hills,Mandaluyong City,,NCR,PHL,121.055840291574,14.576458402246,98.93
294,Ayala Ave. cor. Gil Puyat Ave.,,Makati City,,NCR,PHL,121.015521912377,14.561355009005,99.67
295,Rio Tuba,Bataraza,Palawan,,R-IV,PHL,117.4080605,8.5566586,95.2
296,Zuellig Ave.,Mandaue Reclamation Area,Mandaue City,Province of Cebu,R-VII,PHL,123.92222,10.32361,76.39
297,Ortigas Avenue Extension,Barangay Sto. Domingo,Cainta,Rizal,R-IV,PHL,121.114303463027,14.586678648314,92.87
298,Don Gil Garcia Street,,Barangay Capitol Site,Cebu City,R-VII,PHL,123.890508294507,10.315277510319,82.63
299,Araneta Street,Singcang,Bacolod City,,R-VI,PHL,122.939177554047,10.65515292236,88.65
300,J.P. Laurel Avenue,,Davao City,,R-XI,PHL,125.613141843149,7.07771597599,95.96
301,Naga Diversion Road corner Almeda Highway,Barangay Triangulo,Naga City,,R-V,PHL,123.2073292138,13.609997248931,78.89
302,EDSA corner Pioneer Street,,Mandaluyong City,,NCR,PHL,121.047228137519,14.572498916915,99.67
303,J.P. Laurel Avenue,,Davao City,,R-XI,PHL,125.613141843149,7.07771597599,95.96
304,General Maxilom Avenue,,Cebu City,,R-VII,PHL,123.911284475679,10.305412841803,95.63
305,McArthur Highway,San Miguel,Tarlac City,Tarlac,R-III,PHL,120.599452156864,15.452784884358,96.33
306,McArthur Highway,,San Miguel,Tarlac City,R-III,PHL,120.599452156864,15.452784884358,95.69
307,McArthur Highway,,San Miguel,Tarlac City,R-III,PHL,120.599452156864,15.452784884358,95.69
308,Aguinaldo Highway corner Governor’s Drive,"Sitio Pala-pala, Barangay Sampaloc",Dasmariñas,Cavite,R-IV,PHL,120.954069402513,14.302172104037,96.95
309,Valdez Compound,"Barangay 1 San Francisco, San Nicolas",Ilocos Norte,,R-I,PHL,120.5934057,18.1761155,82.76
310,JP Laurel National Highway,Mataas na Lupa,Lipa City,,R-IV,PHL,120.995665056422,13.812823171028,85.54
311,1199 Quirino Highway corner Maligaya Road,Barangay Pasong Putik,Novaliches,Quezon City,NCR,PHL,121.059051231043,14.73531638027,97.75
312,Paz Mendiola Guanzon Street,Paco,Manila,,NCR,PHL,120.997951526571,14.588508326576,96.75
313,Brgy. Tagapo,,Sta. Rosa City,Laguna,R-IV,PHL,121.102905947175,14.318747609885,85.5
314,6783 Ayala Avenue,"Salcedo Village, Barangay Bel-Air",Makati City,,NCR,PHL,121.020284452404,14.55730061151,83.75
315,ADB Avenue corner Poveda Street,Ortigas Center,Pasig City,,NCR,PHL,121.059793867664,14.589023692342,98.91
316,Barangay Malajog,Tinambacan District,Calbayog City,Western Samar,R-VIII,PHL,124.4831123,12.1081565,80
317,Palampas and Punao,,San Carlos City,Negros Occidental,R-VI,PHL,123.4215299,10.5020446,90.83
318,Barangay Palampas,,San Carlos City,Negros Occidental,R-VI,PHL,123.4215299,10.5020446,90.83
319,Felix Huertas Street,Sta. Cruz,Manila,,NCR,PHL,120.98492939071,14.623992489476,97.46
320,Mac Arthur Highway,Brgy. Nancayasan,Urdaneta City,Pangasinan,R-I,PHL,120.5780724,15.9408606,83.7
321,Cannery,,Polomolok,South Cotabato,R-XII,PHL,125.0618748,6.2171632,86.67
322,Macapagal Avenue cor. Pearl Drive,"Central Business Park 1, Barangay 76, San Rafael",Pasay City,,NCR,PHL,120.993034,14.541526,82
323,Dr. A. Santos Avenue cor. Soreena Avenue,,Parañaque City,,NCR,PHL,121.035593636816,14.456591193777,100
324,Barangay San Miguel,,Bauan,Batangas,R-IV,PHL,120.973855,13.7825041,86.67
325,Shaw Boulevard cor. Nueve de Pebrero Street,Barangay Addition Hills,Mandaluyong City,,NCR,PHL,121.031367025605,14.591639878264,83.36
326,Frontera Verde Drive,"Frontera Verde, Ortigas Avenue",Pasig City,,NCR,PHL,121.0806429,14.5598218,75
327,Along Frontera Verde Drive,"Frontera Verde, E. Rodriguez Jr. Avenue, Ugong",Pasig City,,NCR,PHL,121.0929237,14.5483004,80
328,C-5 corner Las Fiestas Road,Frontera Verde,Pasig City,,NCR,PHL,121.079263873767,14.586689617912,95.26
329,Barangay Camachiles,,Mabalacat,Pampanga,R-III,PHL,120.6223138,15.1959995,87.69
330,6797 Ayala Avenue,,Makati City,,NCR,PHL,121.020284452404,14.55730061151,95
331,Harrison Road,,Baguio City,Benguet Province,CAR,PHL,120.595350861992,16.412838555234,90.38
332,Dr. A. Santos Avenue corner President’s Avenue,Barangay BF,Parañaque City,,NCR,PHL,121.031848267201,14.458586799194,98.41
333,M. A. Roxas Highway,Malabanias,Angeles City,,R-III,PHL,120.569926718795,15.166742133321,93.13
334,Regalado Avenue corner Qurino Hi-way,Barangay Pasong Putik,Novaliches,Quezon City,NCR,PHL,121.060947804274,14.73536218737,95.12
335,Quirino Highway corner Regalado Avenue,Barangay Pasong Putik,Novaliches,Quezon City,NCR,PHL,121.060947804274,14.73536218737,98.23
336,Ayala High,,Lipa City,Batangas,R-IV,PHL,121.1613099,13.9439508,82.86
337,EDSA corner North Avenue,,Quezon City,,NCR,PHL,121.02949982557,14.655825595677,100
338,City of San Fernando and Municipality of Mexico,,Pampanga,,R-III,PHL,125.647403013728,7.120207979865,79.19
339,General Luna Avenue,Barangay Ampid 1,San Mateo,Rizal,R-IV,PHL,121.1394885,14.6643283,79.44
340,EDSA corner West Avenue and Bulacan Streets,,Quezon City,,NCR,PHL,121.030277582365,14.655076798357,96.6
341,SM Central Business Park,Bay City,Pasay City,,NCR,PHL,120.9944465,14.5436072,75
342,SM Central Business Park 1-A,Mall of Asia Complex,Pasay City,,NCR,PHL,120.9944465,14.5436072,75
343,J.P. Laurel Avenue,"Barangay San Antonio, Agdao District",Davao City,,R-XI,PHL,125.637720927019,7.102681660537,85.26
344,Gil Puyat Avenue corner Zodiac and Jupiter Streets,,Makati City,,NCR,PHL,121.0350254276,14.555855516603,96.43
345,69 Jupiter Street,,Makati City,,NCR,PHL,121.029725292253,14.561251609314,97.5
346,Barangay Wack-Wack,,Mandaluyong City,,NCR,PHL,121.04242711021,14.5933993881,91.76
347,Brgy. Wack-Wack,,Mandaluyong City,,NCR,PHL,121.04242711021,14.5933993881,95.33
348,Aurora Boulevard corner Araneta Avenue,,Barangay Doña Imelda,Quezon City,NCR,PHL,121.018706197393,14.605739910438,98.77
349,Along Benigno Aquino Avenue,,Mandurriao,Iloilo City,R-VI,PHL,122.53556,10.71972,77.02
350,Sitio Pala-Pala,Barangay Sampaloc 1,Dasmariñas City,Cavite,R-IV,PHL,120.95827,14.29314,81.03
351,Barangay Mayamot,Marcos Hi-way,Antipolo City,,R-IV,PHL,0.0,0.0,0
352,Barangay Paciano Rizal,,Calamba City,Laguna,R-IV,PHL,121.1296542,14.2154651,89
353,Manila East Road,Barangay Dolores,Taytay,Rizal,R-IV,PHL,121.139395145524,14.551762575937,86.61
354,Dela Rosa Street,,Makati City,,NCR,PHL,121.010332597937,14.557679491207,100
355,2258 Pasong Tamo Extension corner EDSA,,Makati City,,NCR,PHL,121.018172773075,14.541451802729,98.44
356,Along National Road,Barangay Alabang,Muntinlupa City,,NCR,PHL,121.04592594551,14.412857089442,90.71
357,Barangay Halang,"Soro-Soro, San Francisco",Biñan,Laguna,R-IV,PHL,121.06255,14.32865,79.9
358,P. Tuazon corner 10th Avenue,,Cubao,Quezon City,NCR,PHL,121.056192918241,14.618293696371,99.83
359,Tubi-allah,,Surallah,South Cotabato,R-XII,PHL,124.78167,6.30694,89.41
360,Calumpang,,General Santos City,,R-XII,PHL,125.1312353,6.0737299,94.67
361,Upper Klinan,,Polomolok,South Cotabato,R-XII,PHL,125.1069119,6.2579082,95.68
362,Maharlika Highway,,Sto. Tomas,Batangas,R-IV,PHL,121.143187407397,14.11286775152,83.29
363,J. Vargas cor. Bank Drive,Ortigas Center,Mandaluyong City,,NCR,PHL,121.057947585852,14.584460898575,96.14
364,Rizal Drive Corner 5th Avenue and 32nd Street,Fort Bonifacio Global City,Taguig City,,NCR,PHL,121.046251394342,14.547355889598,96.1
365,Bulac,,Sta. Maria,Bulacan,R-III,PHL,121.0226125,14.8377047,93.33
366,Barrio San Jose,,Sta. Rosa City,Laguna,R-IV,PHL,121.1114679,14.3152295,80.61
367,Cabangaan Point,,Subic,Zambales,R-III,PHL,120.2274,14.87619,92.26
368,Shaw Boulevard,,Mandaluyong City,,NCR,PHL,121.031367025605,14.591639878264,100
369,Princeton Street corner Shaw Boulevard,,Mandaluyong City,,NCR,PHL,121.048629927006,14.585532692534,99.67
370,1614 Quezon Avenue,,Quezon City,,NCR,PHL,121.034287317206,14.642081160397,100
371,Lancaster Estates,,Imus,Cavite,R-IV,PHL,120.904250723844,14.404924860136,93.79
372,Sahud-Ulan,,Tanza,Cavite,R-IV,PHL,120.8279534,14.3608635,94.78
373,Malhacan Road,Malhacan,Mecauayan,Bulacan,R-III,PHL,120.968399648019,14.741255656042,94.6
374,F. Cabahug Street,,Kasambangan,Cebu City,R-VII,PHL,123.920382406159,10.326746981719,78.65
375,Lacson Street corner B.S. Aquino Drive,,Bacolod City,,R-VI,PHL,122.956346228233,10.684029511495,94.79
376,Tabangao,,Batangas,,R-IV,PHL,121.0768,13.7027,93.68
377,Barangays Cagdianao,"Hayanggabon, and Taganito, Municipality of Claver",Province of Surigao Del Norte,,R-XIII,PHL,125.8528333,9.5368345,79.99
378,Raja Sikatuna Avenue,Dampas District,Tagbilaran City,Bohol,R-VII,PHL,123.8772492,9.6534018,80
379,Brgy. Tibag,,Tarlac City,,R-III,PHL,120.56365,15.49129,86.09
380,AFP-RSBS Compound,"Km. 12 East Service Road, C5",Taguig City,,NCR,PHL,121.0710154,14.5294065,75
381,Sen. Gil Puyat Avenue,,Makati City,,NCR,PHL,121.027206103696,14.561780614697,96.86
382,Bundagul and Paralayunan,,Mabalacat,Pampanga,R-III,PHL,120.6207445,15.2348957,86.05
383,Meralco Avenue corner St. Paul Road,Barangay Ugong,Pasig City,,NCR,PHL,121.063785413776,14.579914219016,96.1
384,Quimpo Boulevard,Matina,Davao City,,R-XI,PHL,125.58388402906,7.049761827952,93.52
385,Villamonte,,Bacolod City,,R-VI,PHL,122.9715637,10.6833243,95
386,25 ADB Avenue,Ortigas Center,Pasig City,,NCR,PHL,121.059904844062,14.585768391651,98.04
387,6766 Ayala Avenue cor. Paseo de Roxas,,Makati City,,NCR,PHL,121.021073917402,14.556754014714,98.49
388,548 Shaw Boulevard,,Mandaluyong City,,NCR,PHL,121.031367025605,14.591639878264,96.91
389,Block 55,"26th St. corner 9th Avenue, Bonifacio South District, Bonifacio Global City",Taguig City,,NCR,PHL,121.049221,14.5484707,80
390,Samar Loop cor. Panay Road,,Cebu Business Park,Cebu City,R-VII,PHL,123.906219381035,10.316142035763,80
391,Barangay Mactan,,Lapu-Lapu City,Cebu,R-VII,PHL,124.010877316435,10.308930097409,84.54
392,Barangay Alang-Alang,,Mandaue City,,R-VII,PHL,123.945969692498,10.33196754455,86.24
393,Lot 6,"Industry St., Madrigal Business Park, Ayala Alabang",Muntinlupa City,,NCR,PHL,121.044048,14.4178119,80
394,Block 4,"Meralco Center, Barangay Ugong, Ortigas Avenue",Pasig City,,NCR,PHL,121.0929237,14.5483004,80
395,Valdez Center,San Nicolas,Ilocos Norte,,R-I,PHL,120.589563705705,18.182783134266,84.57
396,Ayala Avenue,Barangay Bel-Air,Makati City,,NCR,PHL,121.020284452404,14.55730061151,92.63
397,Pulong Sta. Cruz,,Sta. Rosa City,Laguna,R-IV,PHL,121.0921797,14.2872212,96.36
398,105 H. V. de la Costa Street,Salcedo Village,Makati City,,NCR,PHL,121.026209593297,14.560532283299,94.83
399,Araneta Street,Barangay Tangub,Bacolod City,,R-VI,PHL,122.930957749075,10.637968702362,81.27
400,7th Avenue corner 25th St.,"Bonifacio Global City, Fort Bonifacio",Taguig City,,NCR,PHL,121.04838978548,14.547624487685,96.42
401,7th Avenue corner 24th St.,"Fort Bonifacio, Global City",Taguig City,,NCR,PHL,121.048156098019,14.546720038423,97.67
402,San Antonio Park Square,"Lacson Street, Mandalagan",Bacolod City,,R-VI,PHL,122.959698804893,10.693421453257,86.61
403,Meralco Avenue cor. Onyx Street,Ortigas Center,Pasig City,,NCR,PHL,121.06377939827,14.586783394711,99.18
404,Commonwealth  Avenue,,Quezon City,,NCR,PHL,121.077120881298,14.669878633697,100
405,UP Town Center,Katipunan Avenue,Barangay UP Campus,Quezon City,NCR,PHL,121.0174252,14.6562961,80
406,North Bonifacio District,Bonifacio Global City,Taguig City,,NCR,PHL,121.049221,14.5484707,83.7
407,Barangay Palinpinon,,Municipality of Valencia,Province of Negros Oriental,R-VII,PHL,123.2276493,9.3095443,80.87
408,Along L.P. Leviste Street (formerly Alfaro Street),Salcedo Village,Makati City,,NCR,PHL,121.0261473,14.569122,75
409,Valdez Center,San Nicolas,Ilocos Norte,,R-I,PHL,120.589563705705,18.182783134266,84.57
410,EDSA,,North Triangle,Quezon City,NCR,PHL,121.028273880414,14.656131288325,97.87
411,Don Carlos Hilado Avenue corner F. Gonzaga Avenue,,Bacolod City,,R-VI,PHL,0.0,0.0,0
412,Lot 5 & 6,21st Drive Bonifacio Global City,Taguig,,NCR,PHL,121.049221,14.5484707,86.12
413,Roman Highway,Barangay Cupang,Balanga,Bataan,R-III,PHL,120.53611,14.67611,75
414,Daang Hari Road,Molino IV,Bacoor City,Cavite,R-IV,PHL,120.99846230217,14.376616165367,96.89
415,Carlos P. Garcia (C5) corner Danny Floor  Street,,Pasig City,,NCR,PHL,121.070952952062,14.56974071271,94.44
416,7th Avenue corner 30th Street,Bonifacio Global City,Taguig City,,NCR,PHL,121.0499185608,14.552139818925,99.45
417,Block 1,"5th Avenue, Bonifacio Global City",Taguig City,,NCR,PHL,121.049221,14.5484707,92.34
418,34th Street,Bonifacio Global City,Taguig City,,NCR,PHL,121.053177538941,14.554657972113,97.46
419,Epifanio Delos Santos Avenue,,Barangay Veterans Village,Quezon City,NCR,PHL,121.024699444709,14.656954500022,95.41
420,Arpili & Buanoy,,Balamban,Cebu,R-VII,PHL,123.7029908,10.4714002,85.71
421,Shaw Boulevard,,Mandaluyong City,,NCR,PHL,121.031367025605,14.591639878264,100
422,Along Emerald Avenue,Ortigas Center,Pasig City,,NCR,PHL,121.0806429,14.5598218,75
423,Diversion Road,,Alangilan,Batangas City,R-IV,PHL,121.053329802142,13.775518071543,93.23
424,Brgy. Makiling,,Calamba City,Laguna,R-IV,PHL,121.136749930348,14.154172498471,87.91
425,Barangay Bagacay,,Dumaguete City,Negros Oriental,R-VII,PHL,123.2893831,9.2920988,89.57
426,Paseo de Roxas corner Makati Avenue,,Makati City,,NCR,PHL,121.025811369077,14.557604694067,99.8
427,Block 9,Rockwell Center,Makati City,,NCR,PHL,121.034728340209,14.563025111517,85.29
428,Barangay Don Martin Marundan,,Mati City,Davao Oriental,R-XI,PHL,126.2563382,6.9755215,91.02
429,Abanao corner Zandueta Streets,,Baguio City,,CAR,PHL,120.59445692254,16.413843201666,98.52
430,Gadanni,,Tayum,Abra,CAR,PHL,120.6542,17.6172,85.26
431,J. P. Laurel corner Inigo Streets,Bajada Highway,Davao City,,R-XI,PHL,125.612268338731,7.083908387965,96.15
432,J.P. Laurel Avenue,"Barangay 20-B, Bajada",Davao City,,R-XI,PHL,125.613141843149,7.07771597599,83.23
433,Lacson Street,Mandalagan,Bacolod City,,R-VI,PHL,122.962175694921,10.699033383214,97.08
434,Corner Iznart and Delgado Streets,,Iloilo City,,R-VI,PHL,122.568814844158,10.697817553625,85
435,Daja Daku & Taglawigan,San Isidro & Jubay,Calubian,Leyte,R-VIII,PHL,124.2963221,11.5280809,80
436,E. Rodriguez Jr. Avenue,Ugong,Pasig City,,NCR,PHL,121.079658073288,14.596655981833,97.72
437,Aurora Boulevard cor. General Aguinaldo Avenue,Araneta Center,Cubao,Quezon City,NCR,PHL,121.053178534402,14.622853619337,98.17
438,North Capitol Road corner Aguinaldo Street,Barangay 4,Bacolod City,,R-VI,PHL,122.950446854996,10.677523459774,83.07
439,Ayala,,Zamboanga City,,R-IX,PHL,121.9510053,6.9580126,94.29
440,Barangay Estefania,,Bacolod City,,R-VI,PHL,122.987172941976,10.669609427434,86.35
441,Barangay Bagtic,,Silay City,Negros Occidental,R-VI,PHL,123.0685555,10.7567668,89.52
442,Barangay Alangilan,,Batangas City,Batangas,R-IV,PHL,121.0687,13.7822,89
443,Barangay Villareal,,Bayawan City,Negros Oriental,R-VII,PHL,122.8228273991,9.358249741012,89.24
444,Lot 2 and 3,"Block 5, City Center, North Bonifacio Global City",Taguig City,,NCR,PHL,121.049221,14.5484707,84.92
445,Quezon Avenue,,Barangay Paligsahan,Quezon City,NCR,PHL,121.021206515806,14.633977665607,93.49
446,F. Cabahug Street,,Barangay Kasambagan,Cebu City,R-VII,PHL,123.91404,10.33564,76.26
447,Capitol Complex,"Cadlan, Pili and Maycatmon",Milaor,Camarines Sur,R-V,PHL,123.252264,13.595887,80
448,South Superhighway Corner Emilia & Filmore Streets,,Makati City,,NCR,PHL,121.005491624123,14.557579590267,95.33
449,Pasong Kawayan II,,Gen. Trias,Cavite,R-IV,PHL,120.8825776,14.3246327,96.25
450,Mc Arthur Highway,Nancayasan,Urdaneta City,Pangasinan,R-I,PHL,120.5780724,15.9408606,86.12
451,Emilio Aguinaldo Highway,Barangay Talaba VII,Bacoor City,Cavite,R-IV,PHL,120.951446439799,14.442231954942,87.33
452,Barangay 47,Peñaranda Extension,Legaspi City,Albay,R-V,PHL,123.7533193,13.1492153,75
453,Circuit Makati (formerly known as Sta. Ana Racetrack),Barangay Carmona,Makati City,,NCR,PHL,121.0175052,14.5768659,80
454,Circuit Makati (formerly known as Sta. Ana Racetrack),Barangay Carmona,Makati City,,NCR,PHL,121.0175052,14.5768659,80
455,Connecticut Street,Greenhills Shopping Center,San Juan City,,NCR,PHL,121.051713423798,14.601295537625,80.16
456,Ayala Avenue corner Salcedo Street,,Makati City,,NCR,PHL,121.015676326421,14.555314111034,86.16
457,Sumulong Hi-way,Barrio Sto. Niño,Marikina City,,NCR,PHL,121.099760704837,14.635385120474,94.88
458,General Maxillom Avenue,,Cebu City,,R-VII,PHL,123.911284475679,10.305412841803,94.11
459,Barangay San Vicente,,Dasol,Pangasinan,R-I,PHL,119.8765271,15.9805105,88.57
460,Along Diversion Road,Barangay Cogon,Digos City,Davao del Sur,R-XI,PHL,125.3745526,6.7593637,80
461,16 Sobrecarey Street corner Lapu-lapu Street,,Davao City,,R-XI,PHL,125.618392660105,7.078244903627,99
462,72 N. Escario St. corner F. Ramos Extension,,Capitol Site,Cebu City,R-VII,PHL,123.892010284537,10.316602792738,86.4
463,K44-45 Mac Arthur Highway,Barangay Longos,Malolos City,Bulacan,R-III,PHL,120.789116984601,14.878275690078,97.37
464,169 EDSA,,Manduyong City,,NCR,PHL,121.049924009037,14.576267462492,97.74
465,Barangay Mayamot,Marcos Highway,Antipolo City,,R-IV,PHL,0.0,0.0,0
466,Tagpuro,"San Isidro, New Kawayan, Sto. Niño",Tacloban City,Leyte,R-VIII,PHL,124.9692,11.33564,79.9
467,"Residence  Section ""A""",Military Cut-Off,Baguio City,,CAR,PHL,120.59808,16.40538,83.35
468,Halang,,Biñan City,Laguna,R-IV,PHL,121.05689,14.33517,95
469,Cabatuan,,Iloilo,,R-VI,PHL,122.482306,10.8788884,92.94
470,EDSA corner Corregidor Street,,Quezon City,,NCR,PHL,121.024145214364,14.657060585291,100
471,No. 222-224 Nicanor Garcia Street corner Jupiter Street,,Makati City,,NCR,PHL,121.02230773355,14.562824398541,98.64
472,Mother Ignacia Avenue cor. Sgt. Esguerra St.,,Diliman. Quezon  City,,NCR,PHL,121.027811338426,14.635408341139,89.82
473,Sacsac,,Bacong,Negros Oriental,R-VII,PHL,123.2934519,9.2525145,94.67
474,Barangay Looc,,Sibulan,Negros Oriental,R-VII,PHL,123.2666572,9.3710571,87.03
475,Quimpo Boulevard,Barangay 40-D,Davao City,,R-XI,PHL,125.594146094653,7.052741143755,91.89
476,Trece Martirez & Tanza,,Cavite,,R-IV,PHL,120.87161,14.27861,88.15
477,167 EDSA,,Mandaluyong City,,NCR,PHL,121.047766891741,14.572942479508,95.8
478,Mang-hinao & Balayong,,Bauan,Batangas,R-IV,PHL,120.99484,13.79549,85.67
479,Barangays Santor and Balite,,Malolos City,Bulacan,R-III,PHL,120.8412493,14.8223162,80.87
480,McArthur Highway,Abangan Norte,Marilao,Bulacan,R-III,PHL,120.938773858464,14.774908274362,94.33
481,Barangays Patay Bata and Pantay Matanda,,Tanauan City,Batangas,R-IV,PHL,121.114421,14.1322613,82.86
482,Quezon Avenue corner Roosevelt Avenue,,Barangay Sta. Cruz,Quezon City,NCR,PHL,121.018662192402,14.632641209584,98.69
483,Barangay Tambler,,General Santos City,,R-XII,PHL,125.142049154048,6.059019276156,82.84
484,Garden Villas 3,Barangay Ibaba,Sta. Rosa City,Laguna,R-IV,PHL,121.1214704258,14.30409717574,84.45
485,R.N. Pelaez Boulevard,,Kauswagan,Cagayan de Oro City,R-X,PHL,124.640948119068,8.493195682256,98.41
486,Alternate Road,,Legaspi City,Albay,R-V,PHL,123.7533193,13.1492153,80.65
487,168 Ouano Avenue,Mandaue Reclamation Area,Mandaue City,Cebu,R-VII,PHL,123.929332631383,10.317467497305,79.07
488,Larap,Jose Panganiban,Camarines Norte,,R-V,PHL,122.6541389,14.2855835,97.71
489,377 Sen. Gil Puyat Avenue,,Makati City,,NCR,PHL,121.030183956507,14.560157737956,97.74
490,Archbishop Reyes Avenue corner Apitong Street,,Barangay Camputhaw,Cebu City,R-VII,PHL,123.902926539957,10.318823787532,95.37
491,M. Logarta Avenue corner Kaoshiong Street,,North Reclamation Area,Cebu City,R-VII,PHL,0.0,0.0,0
492,Quezon Street,,Barangay Sampaguita,Iloilo City,R-VI,PHL,122.566330793301,10.696190472556,87.95
493,J. Llorente corner Don Mariano Cui Street,,Capitol Site,Cebu City,R-VII,PHL,123.891524134153,10.310942409705,96.18
494,Clark Special Economic Zone,Barangay Aranguren,Capas,Tarlac,R-III,PHL,120.5242057,15.3600325,80
495,Omapad Road,Opao,Mandaue City,,R-VII,PHL,123.95,10.33333,83.45
496,Omapad Road,Opao,Mandaue City,,R-VII,PHL,123.95,10.33333,83.45
497,Omapad Road,Opao,Mandaue City,,R-VII,PHL,123.95,10.33333,83.45
498,Covelandia Road,Binakayan,Kawit,Cavite,R-IV,PHL,120.92176,14.4534,81.52
499,Purok 2,Lumbocan,Butuan City,,R-XIII,PHL,125.5087556,9.0060619,84.83
500,EDSA,,Muñoz,Quezon City,NCR,PHL,121.022677680171,14.657366714441,92.05
501,Archbishop Reyes corner Acacia Streets,,Barangay Camputhaw,Cebu City,R-VII,PHL,123.90202942486,10.316601409724,89.82
502,120 Juan Luna St.,Binondo,Manila,,NCR,PHL,120.97287453938,14.601424779838,96.38
503,Commonwealth and Luzon Avenue,,Quezon City,,NCR,PHL,121.070577269919,14.665556188983,99.8
504,Kelly,Tuding & Gumatdang,Itogon,Benguet,CAR,PHL,120.64045,16.39479,87.68
505,Barangay Batong Malake,,Los Baños,Laguna,R-IV,PHL,121.22366,14.15256,96.76
506,Sitio Caridad,Banquerohan,Legaspi City,Albay,R-V,PHL,123.7533193,13.1492153,75.61
507,144 Legaspi Street,,Makati City,,NCR,PHL,121.017893940107,14.5542234611,96.38
508,Lapasan,,Cagayan de Oro City,,R-X,PHL,124.6647411,8.4825661,96.8
509,Lacson Street,Barangay Mandalangan,Bacolod City,,R-VI,PHL,122.962175694921,10.699033383214,89.01
510,Corner Araneta and San Sebastian Streets,,Bacolod City,,R-VI,PHL,122.944758414731,10.666134315853,97.45
511,Mactan Cebu International Airport,,Lapu-Lapu City,Cebu,R-VII,PHL,123.98028,10.3085,96
